,total_count,neighborhood
1282,2,South Side Flats
1283,2,Hazelwood
1284,1,
1285,1,East Liberty
1286,1,Allegheny West
1287,1,Bluff
1288,4,Homewood South
1289,1,Hazelwood
1290,3,Homewood North
1291,1,East Liberty
1292,3,Marshall-Shadeland
1293,1,Bluff
1294,1,Allentown
1295,1,Mount Washington
1296,1,Shadyside
1297,1,East Hills
1298,1,Beechview
1299,1,
1300,1,Allentown
1301,1,
1302,1,Spring Hill-City View
1303,1,Crawford-Roberts
1304,1,Central Oakland
1305,1,Allegheny Center
1306,1,
1307,1,Allentown
1308,1,Squirrel Hill South
1309,1,South Side Flats
1310,1,Westwood
1311,1,Carrick
1312,1,Perry South
1313,1,Homewood North
1314,1,Perry South
1315,2,
1316,1,Brookline
1317,1,Hazelwood
1318,1,Brighton Heights
1319,1,Elliott
1320,1,Central Lawrenceville
1321,1,Homewood South
1322,2,Carrick
1323,1,South Side Slopes
1324,1,Homewood West
1325,1,Knoxville
1326,2,Crafton Heights
1327,1,
1328,1,Northview Heights
1329,2,Spring Hill-City View
1330,1,Lincoln-Lemington-Belmar
1331,2,Strip District
1332,1,
1333,1,South Side Flats
1334,1,
1335,1,Central Business District
1336,1,Bloomfield
1337,1,South Side Flats
1338,2,Knoxville
1339,1,Bloomfield
1340,4,Perry South
1341,1,Mount Washington
1342,1,
1343,2,Garfield
1344,1,Chateau
1345,1,South Side Flats
1346,1,Bluff
1347,1,
1348,1,Bloomfield
1349,1,Bloomfield
1350,1,
1351,1,Homewood South
1352,1,Beechview
1353,1,Middle Hill
1354,1,Central Lawrenceville
1355,3,East Liberty
1356,1,Carrick
1357,2,Homewood South
1358,1,Spring Hill-City View
1359,1,East Liberty
1360,1,Perry North
1361,1,Bloomfield
1362,1,Garfield
1363,1,
1364,1,Garfield
1365,5,East Liberty
1366,1,East Hills
1367,1,Troy Hill
1368,1,
